!!! https://www.asahi-net.or.jp/~ax2s-kmtn/ref/old_chara.html
4E9E 亞 4E9C 亜
FA37 嘆 5606 嘆
64D4 擔 62C5 担
81BD 膽 80C6 胆
5718 團 56E3 団
5F48 彈 5F3E 弾
65B7 斷 65AD 断
7661 癡 75F4 痴
9072 遲 9045 遅
665D 晝 663C 昼
87F2 蟲 866B 虫
9444 鑄 92F3 鋳
FA5F 著 8457 著
5EF3 廳 5E81 庁
5FB5 徵 5FB4 徴
FA40 懲 61F2 懲
807D 聽 8074 聴
6555 敕 52C5 勅
93AD 鎭 93AE 鎮
FA10 塚 585A 塚
905E 遞 9013 逓
9435 鐵 9244 鉄
8F49 轉 8EE2 転
9EDE 點 70B9 点
50B3 傳 4F1D 伝
FA26 都 90FD 都
9EE8 黨 515A 党
76DC 盜 76D7 盗
71C8 燈 706F 灯
7576 當 5F53 当
9B2D 鬭 95D8 闘
5FB7 德 5FB3 徳
7368 獨 72EC 独
8B80 讀 8AAD 読
FA55 突 7A81 突
5C46 屆 5C4A 届
7E69 繩 7E04 縄
FA68 難 96E3 難
8CB3 貳 5F10 弐
60F1 惱 60A9 悩
8166 腦 8133 脳
9738 霸 8987 覇
5EE2 廢 5EC3 廃
62DC 拜 62DD 拝
FA44 梅 6885 梅
8CE3 賣 58F2 売
9EA5 麥 9EA6 麦
767C 發 767A 発
9AEE 髮 9AEA 髪
62D4 拔 629C 抜
FA59 繁 7E41 繁
665A 晚 6669 晩
883B 蠻 86EE 蛮
FA35 卑 5351 卑
FA4B 碑 7891 碑
7955 祕 79D8 秘
6FF1 濱 6D5C 浜
FA64 賓 8CD3 賓
FA6A 頻 983B 頻
FA41 敏 654F 敏
7501 甁 74F6 瓶
FA30 侮 4FAE 侮
FA1B 福 798F 福
62C2 拂 6255 払
4F5B 佛 4ECF 仏
5002 倂 4F75 併
FA39 塀 5840 塀
7ADD 竝 4E26 並
8B8A 變 5909 変
908A 邊 8FBA 辺
FA33 勉 52C9 勉
8FA8 辨 5F01 弁
74E3 瓣 5F01 弁
8FAF 辯 5F01 弁
6B65 步 6B69 歩
7A57 穗 7A42 穂
5BF6 寶 5B9D 宝
8943 襃 8912 褒
8C50 豐 8C4A 豊
FA3A 墨 58A8 墨
98DC 飜 7FFB 翻
6BCF 每 6BCE 毎
842C 萬 4E07 万
6EFF 滿 6E80 満
FA32 免 514D 免
9EB5 麵 9EBA 麺
9ED8 默 9ED9 黙
9920 餠 9905 餅
623E 戾 623B 戻
5F4C 彌 5F25 弥
85E5 藥 85AC 薬
8B6F 譯 8A33 訳
8C6B 豫 4E88 予
9918 餘 4F59 余
8207 與 4E0E 与
8B7D 譽 8A89 誉
6416 搖 63FA 揺
6A23 樣 69D8 様
8B20 謠 8B21 謡
4F86 來 6765 来
8CF4 賴 983C 頼
4E82 亂 4E71 乱
F91D 欄 6B04 欄
89BD 覽 89A7 覧
F9DC 隆 9686 隆
9F8D 龍 7ADC 竜
F936 虜 865C 虜
5169 兩 4E21 両
7375 獵 731F 猟
7DA0 綠 7DD1 緑
58D8 壘 5841 塁
6DDA 淚 6D99 涙
F9D0 類 985E 類
52F5 勵 52B1 励
79AE 禮 793C 礼
9748 靈 970A 霊
9F61 齡 9F62 齢
66C6 曆 66A6 暦
6B77 歷 6B74 歴
6200 戀 604B 恋
FA57 練 7DF4 練
934A 鍊 932C 錬
7210 爐 7089 炉
52DE 勞 52B4 労
F928 廊 5ECA 廊
F929 朗 6717 朗
6A13 樓 697C 楼
90DE 郞 90CE 郎
9304 錄 9332 録
7063 灣 6E7E 湾
!!
!!! 常用漢字表では旧字の収録がないが、角川新字源では旧字が収録されているもの
!!
!! 98EE 飮 98F2 飲
!! 984F 顏 9854 顔
!! 518C 册 518A 冊
!! 820D 舍 820E 舎
!! 8216 舖 8217 舗
!! 6C92 沒 6CA1 没
!! 96B8 隸 96B7 隷
